日期時間,股票代號,股票名稱,觸發價格,核心訊號,技術與量能,T+1 報酬率(%),T+3 報酬率(%),T+5 報酬率(%)
2026-05-21 16:46:53,2455,全新,386.5,表面型態：⚡【量能爆發突破】,RSI 指標：59.42 | 成交量比：1.93x (21827.3張/11299.3張),9.96,9.57,0.0
2026-05-21 16:46:55,3037,欣興,905.0,表面型態：⚡【量能爆發突破】,RSI 指標：52.52 | 成交量比：1.31x (32585.4張/24920.8張),7.18,19.89,0.0
2026-05-21 16:47:01,2486,一銓,278.5,表面型態：⚡【量能爆發突破】,RSI 指標：52.82 | 成交量比：3.19x (11851.8張/3717.3張),-2.87,3.77,0.0
2026-05-21 16:47:07,3714,富采,74.0,表面型態：⚡【量能爆發突破】,RSI 指標：49.86 | 成交量比：2.36x (46194.1張/19540.6張),10.0,7.3,0.0
2026-05-21 16:47:08,2409,友達,20.200000762939453,表面型態：⚡【量能爆發突破】,RSI 指標：67.05 | 成交量比：1.53x (366957.3張/239668.3張),9.9,8.91,0.0
2026-05-21 16:47:14,6282,康舒,53.59999847412109,表面型態：⚡【量能爆發突破】,RSI 指標：65.9 | 成交量比：1.76x (44145.8張/25133.0張),7.09,16.42,0.0
2026-05-21 16:47:24,6207,雷柯,88.69999694824219,表面型態：💎【大戶惜售 / 籌碼鎖定】,RSI 指標：75.97 | 成交量比：0.65x (18813.8張/29120.1張),0.0,0.0,0.0
2026-05-22 13:05:52,7853,政美應用,378.5,表面型態：⚡【量能爆發突破】,RSI 指標：44.53 | 成交量比：1.99x (1526.5張/765.4張),0.0,0.0,0.0
2026-05-22 13:05:54,3595,山太士,2795.0,表面型態：💎【大戶惜售 / 籌碼鎖定】,RSI 指標：56.16 | 成交量比：0.69x (378.6張/549.8張),0.0,0.0,0.0
2026-05-22 13:06:06,3163,波若威,1145.0,表面型態：⚡【量能爆發突破】,RSI 指標：42.25 | 成交量比：2.22x (3552.3張/1597.7張),0.0,0.0,0.0
2026-05-22 13:06:20,3037,欣興,977.0,表面型態：⚡【量能爆發突破】,RSI 指標：56.87 | 成交量比：1.37x (35204.0張/25743.1張),1.33,0.0,0.0
2026-05-22 13:06:27,2486,一銓,273.0,表面型態：⚡【量能爆發突破】,RSI 指標：39.83 | 成交量比：1.68x (8248.4張/4902.0張),8.97,0.0,0.0
2026-05-22 13:06:31,1802,台玻,70.0999984741211,表面型態：⚡【量能爆發突破】,RSI 指標：57.2 | 成交量比：1.63x (103461.6張/63641.3張),5.42,0.0,0.0
2026-05-22 13:06:33,3714,富采,79.5999984741211,表面型態：⚡【量能爆發突破】,RSI 指標：51.61 | 成交量比：2.1x (57918.2張/27522.6張),0.13,0.0,0.0
2026-05-22 13:06:35,2409,友達,22.200000762939453,表面型態：⚡【量能爆發突破】,RSI 指標：74.88 | 成交量比：1.52x (386378.6張/253666.8張),9.91,0.0,0.0
2026-05-22 13:06:40,6282,康舒,57.70000076293945,表面型態：⚡【量能爆發突破】,RSI 指標：69.75 | 成交量比：1.92x (65734.5張/34212.1張),9.36,0.0,0.0
2026-05-22 13:06:42,1504,東元,72.19999694824219,表面型態：⚡【量能爆發突破】,RSI 指標：59.09 | 成交量比：1.46x (14029.1張/9593.0張),-0.28,0.0,0.0
2026-05-22 13:06:45,2457,飛宏,26.0,表面型態：⚡【量能爆發突破】,RSI 指標：56.68 | 成交量比：1.77x (4188.2張/2371.8張),3.27,0.0,0.0
2026-05-22 13:06:47,6770,力積電,63.70000076293945,表面型態：⚡【量能爆發突破】,RSI 指標：67.91 | 成交量比：1.53x (198691.1張/129467.7張),6.12,0.0,0.0
2026-05-22 16:37:00,7853,政美應用,381.5,表面型態：⚡【量能爆發突破】,RSI 指標：45.19 | 成交量比：2.12x (1693.7張/798.8張),0.0,0.0,0.0
2026-05-22 16:37:07,6442,光聖,1875.0,表面型態：⚡【量能爆發突破】,RSI 指標：36.88 | 成交量比：1.41x (3549.5張/2523.7張),9.87,0.0,0.0
2026-05-22 16:37:11,3163,波若威,1145.0,表面型態：⚡【量能爆發突破】,RSI 指標：42.25 | 成交量比：2.24x (3591.6張/1605.6張),0.0,0.0,0.0
2026-05-22 16:37:18,3037,欣興,970.0,表面型態：⚡【量能爆發突破】,RSI 指標：56.24 | 成交量比：1.48x (39304.7張/26563.2張),2.06,0.0,0.0
2026-05-22 16:37:22,1815,富喬,107.0,表面型態：⚡【量能爆發突破】,RSI 指標：47.62 | 成交量比：1.43x (28211.2張/19749.3張),0.0,0.0,0.0
2026-05-22 16:37:23,2486,一銓,271.0,表面型態：⚡【量能爆發突破】,RSI 指標：39.18 | 成交量比：1.87x (9725.0張/5197.3張),9.78,0.0,0.0
2026-05-22 16:37:26,1802,台玻,70.5,表面型態：⚡【量能爆發突破】,RSI 指標：57.82 | 成交量比：1.84x (125174.0張/67983.8張),4.82,0.0,0.0
2026-05-22 16:37:28,3714,富采,81.4000015258789,表面型態：⚡【量能爆發突破】,RSI 指標：53.85 | 成交量比：2.45x (76460.2張/31231.0張),-2.09,0.0,0.0
2026-05-22 16:37:30,2409,友達,22.200000762939453,表面型態：⚡【量能爆發突破】,RSI 指標：74.88 | 成交量比：1.54x (394118.7張/255214.9張),9.91,0.0,0.0
2026-05-22 16:37:33,6282,康舒,57.400001525878906,表面型態：⚡【量能爆發突破】,RSI 指標：69.34 | 成交量比：2.13x (78293.9張/36723.9張),9.93,0.0,0.0
2026-05-22 16:37:35,1504,東元,72.0999984741211,表面型態：⚡【量能爆發突破】,RSI 指標：58.88 | 成交量比：1.65x (16722.2張/10131.6張),-0.14,0.0,0.0
2026-05-22 16:37:37,2457,飛宏,26.200000762939453,表面型態：⚡【量能爆發突破】,RSI 指標：57.59 | 成交量比：2.03x (5257.0張/2585.6張),2.48,0.0,0.0
2026-05-22 16:37:38,6770,力積電,63.79999923706055,表面型態：⚡【量能爆發突破】,RSI 指標：68.01 | 成交量比：1.63x (217908.5張/133311.2張),5.96,0.0,0.0
2026-05-25 13:23:51,3595,山太士,2810.0,表面型態：💎【大戶惜售 / 籌碼鎖定】,RSI 指標：58.19 | 成交量比：0.53x (277.0張/520.0張),0.0,0.0,0.0
2026-05-25 13:23:53,3450,聯鈞,503.0,表面型態：⚡【量能爆發突破】,RSI 指標：68.85 | 成交量比：1.48x (4115.2張/2775.1張),5.37,0.0,0.0
2026-05-25 13:23:56,3363,上詮,845.0,表面型態：⚡【量能爆發突破】,RSI 指標：47.29 | 成交量比：1.41x (3540.8張/2504.1張),0.0,0.0,0.0
2026-05-25 13:23:59,6442,光聖,2050.0,表面型態：⚡【量能爆發突破】,RSI 指標：49.47 | 成交量比：1.62x (4938.2張/3043.9張),10.49,0.0,0.0
2026-05-25 13:24:04,3163,波若威,1215.0,表面型態：⚡【量能爆發突破】,RSI 指標：49.66 | 成交量比：2.54x (7123.2張/2801.4張),0.0,0.0,0.0
2026-05-25 13:24:19,1815,富喬,108.5,表面型態：⚡【量能爆發突破】,RSI 指標：39.73 | 成交量比：1.34x (27588.7張/20527.5張),0.0,0.0,0.0
